fecha,año,mes,ciudad,zona,precipitacion_mm,temp_max,temp_min,humedad,viento_10m,presion,temp_media,rango_termico,indice_calor_aprox,evento_lluvia,humedad_alta,estacion,condicion_climatica
1981-07-30,1981,julio,Bello,montañosa,0.27,20.34,13.77,87.07,0.87,81.54,17.055,6.57,41.1791,True,True,seca_principal,lluvioso
1981-07-31,1981,julio,Envigado,mixta,3.36,22.69,14.11,86.86,0.86,81.61,18.4,8.580000000000002,42.4618,True,True,seca_principal,lluvioso
1981-08-01,1981,agosto,Envigado,mixta,3.69,21.83,15.61,88.83,0.82,81.6,18.72,6.219999999999999,43.4599,True,True,seca_principal,lluvioso
1981-08-02,1981,agosto,Itagüí,urbana,4.23,22.24,14.39,86.8,0.82,81.49,18.315,7.849999999999998,42.38500000000001,True,True,seca_principal,lluvioso
1981-08-03,1981,agosto,Envigado,mixta,4.35,20.84,14.28,90.13,0.65,81.43,17.56,6.56,42.8479,True,True,seca_principal,lluvioso
1981-08-04,1981,agosto,Bello,montañosa,11.31,21.07,14.74,90.08,0.65,81.55,17.905,6.33,43.1764,True,True,seca_principal,lluvioso
1981-08-05,1981,agosto,Medellín,urbana,10.11,22.22,15.06,89.22,0.64,81.61,18.64,7.159999999999998,43.6346,True,True,seca_principal,lluvioso
1981-08-06,1981,agosto,Medellín,urbana,18.19,20.64,15.6,92.99,0.79,81.53,18.12,5.040000000000001,44.2537,True,True,seca_principal,lluvioso
1981-08-07,1981,agosto,Itagüí,urbana,15.66,21.01,15.1,90.75,0.61,81.44,18.055,5.910000000000002,43.5755,True,True,seca_principal,lluvioso
1981-08-08,1981,agosto,Sabaneta,suburbana,6.36,19.56,15.07,93.12,0.6,81.48,17.315,4.489999999999998,43.6246,True,True,seca_principal,lluvioso
